"[u'causes', u'methods', u'ipta', u'formulate', u'safety', u'especially', u'lot', u'true', u'buntar', u'disabled']","[u'fallen', u'borrowed', u'secure', u'activities', u'badly', u'armed_forces', u'challenges', u'ops_cantas', u'charges', u'confiscated']","[u'clearly', u'studies', u'drugs', u'single', u'saved', u'delivered', u'medium', u'rm', u'services', u'actually']","[u'leaving', u'to', u'reports', u'granting', u'explain', u'holders', u'businesses', u'obstacles', u'sold', u'actions']","[u'reached', u'benefit', u'effectively', u'disasters', u'transferred', u'deemed', u'products', u'preparedness', u'belaga', u'successful']","[u'figure', u'period', u'settled', u'johor', u'facing', u'establishment', u'what', u'secondary', u'bankrupt', u'rendered']","[u'if', u'imposed', u'india', u'involvement', u'laws', u'involving', u'express', u'implementation_gst', u'peninsula', u'granting']","[u'sold', u'police_officers', u'please', u'island', u'bonds', u'industrial', u'religious', u'look', u'retailers', u'study']","[u'cancer', u'bangladeshi_workers', u'decision', u'shown', u'participated', u'possibility', u'areas', u'growing', u'ec', u'monitored']","[u'strengthen', u'proton', u'enter', u'competitiveness', u'school', u'curbing', u'issue', u'pilot', u'overall', u'ban']"
"[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'given', u'implemented', u'measures', u'cost']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'especially', u'given', u'implemented', u'measures', u'plan']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'given', u'used', u'implemented', u'especially', u'approved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'given', u'implemented', u'used', u'measures']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'implemented', u'given', u'measures', u'plan']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'implemented', u'whether', u'given', u'measures', u'cost']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'given', u'especially', u'implemented', u'measures', u'used']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'given', u'implemented', u'used', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'given', u'implemented', u'measures', u'plan']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'given', u'especially', u'implemented', u'measures', u'used']"
"[u'medicines', u'ensure', u'the', u'whether', u'intends', u'given', u'regarding', u'especially', u'plan', u'involved']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'given', u'regarding', u'especially', u'plan', u'involved']","[u'medicines', u'the', u'whether', u'intends', u'ensure', u'given', u'regarding', u'plan', u'involved', u'implemented']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'given', u'regarding', u'especially', u'plan', u'implemented']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'especially', u'plan', u'given', u'regarding', u'improve']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'given', u'regarding', u'plan', u'especially', u'implemented']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'given', u'regarding', u'plan', u'especially', u'public']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'given', u'especially', u'regarding', u'plan', u'involved']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'given', u'regarding', u'plan', u'especially', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'given', u'regarding', u'plan', u'especially', u'public']"
"[u'medicines', u'the', u'especially', u'ensure', u'intends', u'regarding', u'given', u'reduce', u'implemented', u'cost']","[u'medicines', u'the', u'especially', u'ensure', u'regarding', u'intends', u'reduce', u'implemented', u'whether', u'given']","[u'medicines', u'the', u'intends', u'regarding', u'especially', u'given', u'whether', u'used', u'reduce', u'implemented']","[u'medicines', u'the', u'especially', u'regarding', u'ensure', u'intends', u'reduce', u'implemented', u'given', u'used']","[u'medicines', u'the', u'especially', u'intends', u'reduce', u'ensure', u'regarding', u'implemented', u'improve', u'cost']","[u'medicines', u'the', u'especially', u'regarding', u'ensure', u'implemented', u'intends', u'reduce', u'cost', u'improve']","[u'medicines', u'the', u'especially', u'intends', u'regarding', u'reduce', u'ensure', u'implemented', u'given', u'whether']","[u'medicines', u'especially', u'the', u'ensure', u'intends', u'regarding', u'cost', u'used', u'implemented', u'given']","[u'medicines', u'the', u'especially', u'intends', u'ensure', u'regarding', u'reduce', u'implemented', u'given', u'whether']","[u'medicines', u'the', u'intends', u'ensure', u'regarding', u'especially', u'reduce', u'given', u'implemented', u'whether']"
"[u'medicines', u'the', u'ensure', u'especially', u'intends', u'whether', u'given', u'improve', u'increase', u'regarding']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'whether', u'improve', u'given', u'increase', u'regarding']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'given', u'regarding', u'improve', u'increase']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'whether', u'given', u'improve', u'increase', u'regarding']","[u'medicines', u'the', u'especially', u'ensure', u'intends', u'improve', u'whether', u'increase', u'including', u'plan']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'improve', u'increase', u'whether', u'implemented', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'increase', u'given', u'improve', u'regarding']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'whether', u'given', u'improve', u'increase', u'including']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'improve', u'given', u'increase', u'regarding']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'improve', u'given', u'increase', u'regarding']"
"[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'given', u'measures', u'regarding', u'especially']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'implemented', u'measures', u'regarding', u'plan', u'especially']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'implemented', u'given', u'address', u'regarding', u'provide']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'implemented', u'given', u'measures', u'regarding', u'especially']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'especially', u'plan', u'address', u'measures']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'implemented', u'provide', u'measures', u'address', u'plan']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'implemented', u'measures', u'address', u'regarding', u'given']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'provide', u'measures', u'cost', u'especially']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'measures', u'regarding', u'plan', u'especially']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'measures', u'address', u'regarding', u'given']"
"[u'medicines', u'ensure', u'the', u'especially', u'intends', u'whether', u'regarding', u'cost', u'given', u'implemented']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'whether', u'regarding', u'implemented', u'cost', u'given']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'especially', u'regarding', u'given', u'implemented', u'cost']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'whether', u'regarding', u'implemented', u'given', u'cost']","[u'medicines', u'the', u'especially', u'ensure', u'intends', u'whether', u'regarding', u'implemented', u'plan', u'reduce']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'implemented', u'regarding', u'whether', u'cost', u'plan']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'regarding', u'implemented', u'reduce', u'given']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'cost', u'whether', u'regarding', u'implemented', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'regarding', u'implemented', u'cost', u'given']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'regarding', u'implemented', u'given', u'reduce']"
"[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'regarding', u'whether', u'cost', u'plans']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'regarding', u'whether', u'given', u'meet', u'cost']","[u'medicines', u'the', u'ensure', u'intends', u'given', u'whether', u'especially', u'regarding', u'cost', u'meet']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'given', u'regarding', u'whether', u'cost', u'meet']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'regarding', u'given', u'meet', u'whether', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'regarding', u'given', u'cost', u'whether', u'meet']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'regarding', u'whether', u'cost', u'plans']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'cost', u'regarding', u'whether', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'regarding', u'whether', u'cost', u'measures']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'given', u'regarding', u'meet', u'cost']"
"[u'medicines', u'whether', u'ensure', u'given', u'the', u'plans', u'regarding', u'plan', u'especially', u'implemented']","[u'medicines', u'whether', u'the', u'ensure', u'given', u'regarding', u'plan', u'implemented', u'especially', u'intends']","[u'medicines', u'whether', u'given', u'the', u'ensure', u'regarding', u'plan', u'intends', u'implemented', u'plans']","[u'medicines', u'whether', u'the', u'given', u'ensure', u'regarding', u'plan', u'especially', u'implemented', u'plans']","[u'medicines', u'whether', u'the', u'ensure', u'plan', u'especially', u'given', u'plans', u'regarding', u'intends']","[u'medicines', u'the', u'whether', u'ensure', u'given', u'implemented', u'plan', u'regarding', u'plans', u'especially']","[u'medicines', u'whether', u'the', u'given', u'ensure', u'regarding', u'plan', u'plans', u'implemented', u'especially']","[u'medicines', u'whether', u'ensure', u'the', u'given', u'plan', u'especially', u'cost', u'plans', u'implemented']","[u'medicines', u'whether', u'the', u'ensure', u'given', u'plan', u'regarding', u'especially', u'plans', u'intends']","[u'medicines', u'whether', u'ensure', u'the', u'given', u'regarding', u'intends', u'plan', u'plans', u'implemented']"
"[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'whether', u'given', u'especially', u'implemented', u'improve']","[u'medicines', u'the', u'ensure', u'regarding', u'whether', u'intends', u'implemented', u'especially', u'given', u'reduce']","[u'medicines', u'the', u'ensure', u'regarding', u'whether', u'intends', u'given', u'implemented', u'especially', u'used']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'whether', u'given', u'especially', u'implemented', u'improve']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'especially', u'whether', u'implemented', u'improve', u'reduce']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'implemented', u'given', u'whether', u'especially', u'improve']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'whether', u'given', u'implemented', u'especially', u'reduce']","[u'medicines', u'the', u'ensure', u'intends', u'regarding', u'especially', u'given', u'cost', u'whether', u'implemented']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'whether', u'especially', u'implemented', u'given', u'improve']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'whether', u'given', u'especially', u'implemented', u'reduce']"
"[u'medicines', u'ensure', u'intends', u'whether', u'especially', u'the', u'regarding', u'plan', u'cost', u'given']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'plan', u'implemented', u'cost']","[u'medicines', u'intends', u'ensure', u'whether', u'the', u'especially', u'regarding', u'plan', u'given', u'implemented']","[u'medicines', u'ensure', u'intends', u'especially', u'the', u'whether', u'regarding', u'plan', u'implemented', u'cost']","[u'medicines', u'ensure', u'especially', u'intends', u'the', u'plan', u'whether', u'regarding', u'cost', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'regarding', u'plan', u'implemented', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'regarding', u'plan', u'increase', u'implemented']","[u'medicines', u'ensure', u'intends', u'especially', u'cost', u'the', u'whether', u'plan', u'regarding', u'implemented']","[u'medicines', u'ensure', u'intends', u'especially', u'the', u'whether', u'regarding', u'plan', u'cost', u'implemented']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'plan', u'implemented', u'cost']"
"[u'medicines', u'the', u'ensure', u'especially', u'given', u'intends', u'whether', u'regarding', u'measures', u'following']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'whether', u'given', u'regarding', u'measures', u'following']","[u'medicines', u'the', u'intends', u'whether', u'given', u'especially', u'ensure', u'regarding', u'measures', u'address']","[u'medicines', u'the', u'especially', u'intends', u'ensure', u'whether', u'given', u'measures', u'regarding', u'implemented']","[u'medicines', u'the', u'especially', u'intends', u'ensure', u'whether', u'measures', u'given', u'regarding', u'address']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'given', u'whether', u'measures', u'regarding', u'implemented']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'given', u'measures', u'regarding', u'address']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'given', u'whether', u'measures', u'regarding', u'implemented']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'given', u'measures', u'regarding', u'implemented']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'especially', u'given', u'regarding', u'measures', u'address']"
"[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'given', u'increase', u'plan']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'especially', u'increase', u'improve', u'plan', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'given', u'plan', u'build', u'improve']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'increase', u'given', u'plan']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'whether', u'improve', u'plan', u'increase', u'build']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'plan', u'increase', u'given']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'increase', u'given', u'plan', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'plan', u'increase', u'approved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'increase', u'plan', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'build', u'plan', u'improve', u'increase']"
"[u'medicines', u'ensure', u'intends', u'especially', u'the', u'implemented', u'whether', u'given', u'plans', u'regarding']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'implemented', u'whether', u'regarding', u'given', u'plan']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'implemented', u'whether', u'given', u'regarding', u'plans']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'implemented', u'whether', u'given', u'regarding', u'plans']","[u'medicines', u'intends', u'ensure', u'especially', u'the', u'implemented', u'whether', u'state', u'plans', u'plan']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'implemented', u'whether', u'given', u'regarding', u'plans']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'implemented', u'whether', u'given', u'plans', u'regarding']","[u'medicines', u'ensure', u'intends', u'especially', u'the', u'implemented', u'whether', u'plans', u'given', u'including']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'implemented', u'whether', u'given', u'plans', u'regarding']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'implemented', u'whether', u'given', u'plans', u'regarding']"
"[u'medicines', u'the', u'whether', u'ensure', u'increase', u'especially', u'given', u'intends', u'regarding', u'cost']","[u'medicines', u'the', u'whether', u'ensure', u'increase', u'especially', u'intends', u'regarding', u'given', u'cost']","[u'medicines', u'the', u'whether', u'intends', u'given', u'increase', u'especially', u'ensure', u'regarding', u'plan']","[u'medicines', u'the', u'whether', u'ensure', u'especially', u'increase', u'intends', u'given', u'regarding', u'cost']","[u'medicines', u'the', u'especially', u'whether', u'ensure', u'increase', u'intends', u'plan', u'regarding', u'problem']","[u'medicines', u'the', u'whether', u'ensure', u'increase', u'especially', u'intends', u'given', u'cost', u'regarding']","[u'medicines', u'the', u'whether', u'increase', u'ensure', u'intends', u'especially', u'given', u'regarding', u'cost']","[u'medicines', u'the', u'whether', u'ensure', u'especially', u'intends', u'increase', u'cost', u'given', u'regarding']","[u'medicines', u'the', u'whether', u'ensure', u'especially', u'increase', u'intends', u'given', u'cost', u'regarding']","[u'medicines', u'the', u'whether', u'ensure', u'intends', u'increase', u'especially', u'given', u'regarding', u'plan']"
"[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'whether', u'measures', u'implemented', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'whether', u'measures', u'given', u'implemented', u'regarding']","[u'medicines', u'ensure', u'the', u'intends', u'given', u'especially', u'whether', u'measures', u'implemented', u'regarding']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'measures', u'whether', u'implemented', u'cost']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'measures', u'including', u'whether', u'given', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'measures', u'implemented', u'whether', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'measures', u'whether', u'implemented', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'given', u'measures', u'cost', u'including', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'measures', u'given', u'whether', u'implemented', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'given', u'whether', u'measures', u'implemented', u'regarding']"
"[u'medicines', u'intends', u'the', u'ensure', u'given', u'whether', u'regarding', u'increase', u'especially', u'measures']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'given', u'regarding', u'measures', u'increase', u'especially']","[u'medicines', u'intends', u'the', u'whether', u'given', u'ensure', u'regarding', u'increase', u'measures', u'especially']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'given', u'regarding', u'especially', u'increase', u'measures']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'measures', u'given', u'increase', u'regarding']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'whether', u'regarding', u'increase', u'measures', u'especially']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'given', u'increase', u'regarding', u'measures', u'especially']","[u'medicines', u'intends', u'the', u'ensure', u'given', u'whether', u'especially', u'increase', u'regarding', u'measures']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'given', u'measures', u'especially', u'increase', u'regarding']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'given', u'regarding', u'increase', u'measures', u'especially']"
"[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'plan', u'given', u'involved', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'including', u'implemented', u'regarding', u'plan']","[u'medicines', u'intends', u'whether', u'the', u'ensure', u'plan', u'especially', u'given', u'implemented', u'regarding']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'plan', u'implemented', u'given', u'regarding']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'including', u'plan', u'implemented', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'implemented', u'especially', u'plan', u'involved', u'including']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'especially', u'including', u'implemented', u'plan', u'involved']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'including', u'implemented', u'involved', u'plan']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'plan', u'implemented', u'measures', u'including']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'plan', u'regarding', u'implemented', u'including']"
"[u'medicines', u'the', u'ensure', u'intends', u'given', u'regarding', u'especially', u'whether', u'implemented', u'cost']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'regarding', u'especially', u'whether', u'implemented', u'cost']","[u'medicines', u'the', u'intends', u'given', u'ensure', u'whether', u'regarding', u'especially', u'implemented', u'plan']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'especially', u'regarding', u'implemented', u'whether', u'cost']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'given', u'regarding', u'implemented', u'whether', u'cost']","[u'medicines', u'the', u'ensure', u'intends', u'given', u'implemented', u'especially', u'regarding', u'cost', u'whether']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'especially', u'regarding', u'implemented', u'whether', u'cost']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'especially', u'cost', u'implemented', u'regarding', u'whether']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'especially', u'regarding', u'implemented', u'whether', u'cost']","[u'medicines', u'the', u'intends', u'ensure', u'given', u'regarding', u'especially', u'whether', u'implemented', u'cost']"
"[u'medicines', u'intends', u'whether', u'ensure', u'given', u'plan', u'the', u'implemented', u'involved', u'especially']","[u'medicines', u'intends', u'whether', u'ensure', u'the', u'given', u'implemented', u'plan', u'involved', u'cost']","[u'medicines', u'intends', u'whether', u'given', u'the', u'plan', u'ensure', u'implemented', u'involved', u'especially']","[u'medicines', u'intends', u'whether', u'ensure', u'the', u'given', u'plan', u'implemented', u'especially', u'cost']","[u'medicines', u'intends', u'ensure', u'whether', u'the', u'plan', u'especially', u'implemented', u'given', u'involved']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'implemented', u'given', u'plan', u'involved', u'cost']","[u'medicines', u'intends', u'whether', u'the', u'given', u'ensure', u'implemented', u'plan', u'increase', u'especially']","[u'medicines', u'intends', u'ensure', u'whether', u'given', u'the', u'implemented', u'plan', u'cost', u'involved']","[u'medicines', u'intends', u'whether', u'ensure', u'the', u'plan', u'implemented', u'given', u'especially', u'cost']","[u'medicines', u'intends', u'whether', u'ensure', u'plan', u'given', u'the', u'implemented', u'increase', u'especially']"
"[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'given', u'involved', u'especially', u'cost']","[u'medicines', u'ensure', u'the', u'whether', u'regarding', u'intends', u'involved', u'cost', u'given', u'especially']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'given', u'involved', u'status', u'especially']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'status', u'especially', u'cost', u'given']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'regarding', u'involved', u'status', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'regarding', u'involved', u'cost', u'especially', u'status']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'status', u'especially', u'given', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'cost', u'regarding', u'involved', u'especially', u'given']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'status', u'cost', u'especially', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'regarding', u'especially', u'given', u'status', u'cost']"
"[u'medicines', u'the', u'intends', u'ensure', u'whether', u'especially', u'given', u'cost', u'plan', u'increase']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'cost', u'especially', u'given', u'increase', u'plan']","[u'medicines', u'the', u'intends', u'whether', u'given', u'especially', u'ensure', u'address', u'plan', u'cost']","[u'medicines', u'the', u'intends', u'whether', u'especially', u'ensure', u'cost', u'plan', u'given', u'increase']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'plan', u'address', u'cost', u'increase']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'cost', u'address', u'whether', u'given', u'plan']","[u'medicines', u'the', u'intends', u'especially', u'whether', u'ensure', u'cost', u'given', u'address', u'increase']","[u'medicines', u'intends', u'the', u'ensure', u'cost', u'especially', u'whether', u'given', u'plan', u'increase']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'especially', u'cost', u'plan', u'address', u'given']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'especially', u'cost', u'given', u'plan', u'increase']"
"[u'medicines', u'whether', u'ensure', u'the', u'intends', u'given', u'especially', u'improve', u'plan', u'plans']","[u'medicines', u'whether', u'the', u'ensure', u'intends', u'especially', u'given', u'improve', u'regarding', u'increase']","[u'medicines', u'whether', u'the', u'intends', u'ensure', u'given', u'especially', u'improve', u'plan', u'used']","[u'medicines', u'the', u'whether', u'ensure', u'intends', u'especially', u'given', u'improve', u'plan', u'increase']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'especially', u'improve', u'plan', u'given', u'measures']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'especially', u'given', u'improve', u'plan', u'used']","[u'medicines', u'the', u'whether', u'intends', u'ensure', u'especially', u'given', u'increase', u'improve', u'plan']","[u'medicines', u'ensure', u'whether', u'the', u'intends', u'especially', u'given', u'improve', u'used', u'plan']","[u'medicines', u'whether', u'the', u'ensure', u'intends', u'especially', u'given', u'improve', u'plan', u'measures']","[u'medicines', u'whether', u'ensure', u'intends', u'the', u'especially', u'given', u'improve', u'plan', u'increase']"
"[u'medicines', u'intends', u'the', u'whether', u'ensure', u'given', u'implemented', u'regarding', u'plan', u'especially']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'implemented', u'given', u'regarding', u'plan', u'especially']","[u'medicines', u'intends', u'the', u'whether', u'given', u'implemented', u'ensure', u'regarding', u'plan', u'especially']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'given', u'implemented', u'regarding', u'plan', u'especially']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'implemented', u'especially', u'plan', u'regarding', u'given']","[u'medicines', u'the', u'intends', u'implemented', u'ensure', u'whether', u'given', u'regarding', u'plan', u'especially']","[u'medicines', u'the', u'intends', u'whether', u'implemented', u'given', u'ensure', u'regarding', u'especially', u'increase']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'implemented', u'given', u'regarding', u'especially', u'plan']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'implemented', u'given', u'regarding', u'plan', u'measures']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'given', u'implemented', u'regarding', u'plan', u'increase']"
"[u'medicines', u'ensure', u'whether', u'especially', u'the', u'given', u'intends', u'improve', u'regarding', u'plan']","[u'medicines', u'ensure', u'whether', u'the', u'especially', u'intends', u'given', u'regarding', u'improve', u'measures']","[u'medicines', u'whether', u'ensure', u'the', u'intends', u'given', u'especially', u'regarding', u'improve', u'used']","[u'medicines', u'ensure', u'the', u'whether', u'especially', u'given', u'intends', u'improve', u'regarding', u'plan']","[u'medicines', u'ensure', u'especially', u'the', u'intends', u'whether', u'improve', u'given', u'measures', u'regarding']","[u'medicines', u'ensure', u'the', u'especially', u'whether', u'intends', u'given', u'improve', u'implemented', u'regarding']","[u'medicines', u'ensure', u'the', u'especially', u'whether', u'intends', u'given', u'regarding', u'improve', u'measures']","[u'medicines', u'ensure', u'especially', u'the', u'intends', u'whether', u'given', u'improve', u'used', u'regarding']","[u'medicines', u'ensure', u'whether', u'the', u'especially', u'intends', u'given', u'improve', u'measures', u'regarding']","[u'medicines', u'ensure', u'whether', u'intends', u'especially', u'the', u'given', u'regarding', u'improve', u'plan']"
"[u'medicines', u'intends', u'ensure', u'the', u'especially', u'increase', u'regarding', u'whether', u'involved', u'given']","[u'medicines', u'intends', u'the', u'ensure', u'increase', u'especially', u'regarding', u'whether', u'involved', u'implemented']","[u'medicines', u'intends', u'the', u'ensure', u'especially', u'increase', u'regarding', u'whether', u'given', u'involved']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'increase', u'regarding', u'whether', u'cost', u'implemented']","[u'medicines', u'intends', u'the', u'ensure', u'especially', u'increase', u'regarding', u'involved', u'whether', u'implemented']","[u'medicines', u'the', u'ensure', u'intends', u'especially', u'increase', u'regarding', u'involved', u'implemented', u'cost']","[u'medicines', u'the', u'intends', u'ensure', u'increase', u'especially', u'regarding', u'involved', u'implemented', u'whether']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'increase', u'involved', u'regarding', u'cost', u'implemented']","[u'medicines', u'intends', u'the', u'ensure', u'especially', u'increase', u'regarding', u'whether', u'involved', u'implemented']","[u'medicines', u'intends', u'the', u'ensure', u'increase', u'especially', u'regarding', u'whether', u'involved', u'given']"
